,brand,efficancy_long,efficancy_short,lavant,presentation,product,quality,rincable,smell,texture,chemical,chemical_name
10117,sephora,,,,,Fan Brush - Platinum,3.8,,,,13463-67-7,Titanium dioxide
10127,sephora,,,,,Powder Brush Round - Platinum,3.9,,,,13463-67-7,Titanium dioxide
10130,sephora,,,,,Professional Cordless Straightener,5.0,,,,13463-67-7,Titanium dioxide
10347,sephora,,,,,Powder Brush Flat - Platinum,3.7,,,,13463-67-7,Titanium dioxide
10411,sephora,,,,3.8,Fard Paupieres Moire,3.3,,,3.5,13463-67-7,Titanium dioxide
10643,sephora,,,,,Lime Soft Hands,3.7,,,,13463-67-7,Titanium dioxide
10894,sephora,,,,4.8,Round a Kiss,3.6,,,4.1,13463-67-7,Titanium dioxide
10895,sephora,,,,,Powder Brush - Sephora Piiink,3.6,,,,13463-67-7,Titanium dioxide
10905,sephora,,,,,Blush Bevels - Platinum,3.9,,,,13463-67-7,Titanium dioxide
10906,sephora,,,,,Blending Dome - Platinum Brush,3.9,,,,13463-67-7,Titanium dioxide
11129,sephora,,,,,Brush Hollow eyelid - Platinum,4.6,,,,13463-67-7,Titanium dioxide
11130,sephora,,,,,Concealer brush - Platinum,3.3,,,,13463-67-7,Titanium dioxide
11131,sephora,,,,,Eyelid Brush Ultra Fine - Platinum,4.3,,,,13463-67-7,Titanium dioxide
11134,sephora,,,4.5,4.5,Soap Magic Soap leaves! - Sephora Express,4.3,4.2,4.0,4.7,13463-67-7,Titanium dioxide
11319,sephora,,,,4.3,My Tattoo Liiiner - Sephora Piiink,4.3,,,4.3,13463-67-7,Titanium dioxide
11425,sephora,3.9,4.3,,4.4,Oil Divine - Sun,4.0,,3.8,4.2,13463-67-7,Titanium dioxide
11426,sephora,2.0,2.2,,4.5,Slimming program 24H - Body,2.3,,,,13463-67-7,Titanium dioxide
11427,sephora,3.3,4.3,,4.4,No deodorant wipes Panic! - Sephora Express,2.9,,4.1,4.3,13463-67-7,Titanium dioxide
11428,sephora,2.8,3.4,,3.9,Super Bust Gel Lift - Body,3.4,,2.6,4.2,13463-67-7,Titanium dioxide
11430,sephora,,,,3.7,"Gel ""Zero"" Cellulite - Body",2.7,,3.0,3.3,13463-67-7,Titanium dioxide
11431,sephora,,,,4.0,Creamy Creme Solaire SFP30 - Sun,3.5,,4.5,4.0,13463-67-7,Titanium dioxide
11432,sephora,,,,4.7,Sun Milk SPF15 Smooth - Sun,3.0,,3.3,3.7,13463-67-7,Titanium dioxide
11433,sephora,,,,4.7,Sun Tanning Oil Intense SPF 6 - Sun,4.6,,4.9,4.6,13463-67-7,Titanium dioxide
11434,sephora,,,,4.0,Sun Spray SPF20 Velvet - Sun,3.5,,4.4,4.0,13463-67-7,Titanium dioxide
11435,sephora,,,,4.1,Super Soothing Gel Fondant - Sun,,,3.5,3.9,13463-67-7,Titanium dioxide
11436,sephora,,,,4.0,Creme Ensoleillante Progressive Face - Sun,2.5,,2.8,3.8,13463-67-7,Titanium dioxide
11437,sephora,,,,4.5,Tinted Bronzing Mist - Sun,3.4,,4.2,4.2,13463-67-7,Titanium dioxide
11438,sephora,,,,4.3,Self-tanning mist Face,3.3,,3.0,3.7,13463-67-7,Titanium dioxide
11439,sephora,,,,4.5,Solar sail Corps,4.5,,,4.5,13463-67-7,Titanium dioxide
11909,sephora,,,,4.6,Powder Multicompacte,4.0,,,4.4,13463-67-7,Titanium dioxide
11910,sephora,,,,3.3,Natural Sun SPF 15 Fluid,2.8,,2.8,3.2,13463-67-7,Titanium dioxide
11911,sephora,,,,4.5,Powder SPF 15,4.4,,,4.6,13463-67-7,Titanium dioxide
11912,sephora,,,,3.5,Kiss Bronzed,4.0,,,5.0,13463-67-7,Titanium dioxide
11978,sephora,,,,4.5,Sun disk,4.1,,,4.3,13463-67-7,Titanium dioxide
12171,sephora,,,,4.6,Paradise Palette,4.2,,,,13463-67-7,Titanium dioxide
12318,sephora,,,,,Sponge precut,3.1,,,,13463-67-7,Titanium dioxide
12445,sephora,3.2,3.8,,4.0,Body Lotion,3.6,,4.5,3.4,13463-67-7,Titanium dioxide
12467,sephora,,,,4.2,Body Scrub,3.8,,4.5,4.2,13463-67-7,Titanium dioxide
12469,sephora,,,4.3,4.8,Hands Cleansing Creme,3.7,4.2,4.7,4.4,13463-67-7,Titanium dioxide
12470,sephora,,,3.9,4.0,Creamy shower,3.4,4.0,4.3,3.9,13463-67-7,Titanium dioxide
12471,sephora,,,3.7,4.2,Bathroom Shower,3.1,3.8,4.2,3.8,13463-67-7,Titanium dioxide
12472,sephora,3.6,4.1,,4.1,Body Balm,3.7,,4.5,4.4,13463-67-7,Titanium dioxide
12541,sephora,,,,3.9,Nail varnish Moire,3.3,,,3.3,13463-67-7,Titanium dioxide
12767,sephora,,,,,Bronzer Brush / Powder - Platinum,4.6,,,,13463-67-7,Titanium dioxide
12861,sephora,,,,4.1,Duo Solar Light,3.6,,,3.6,13463-67-7,Titanium dioxide
12869,sephora,,,,,Hair Be Removed pliers Steel tapered,3.8,,,,13463-67-7,Titanium dioxide
12870,sephora,,,,,Pliers Rose Pointe Precision Hair Be Removed,3.3,,,,13463-67-7,Titanium dioxide
12921,sephora,,,,,Smoother Business,4.3,,,,13463-67-7,Titanium dioxide
12928,sephora,,,,4.0,My Miniii Eyeshadow - Sephora Piiink,3.5,,,3.5,13463-67-7,Titanium dioxide
12946,sephora,,,,4.3,Flashy Liner,3.7,,,4.0,13463-67-7,Titanium dioxide
13097,sephora,,,,4.1,Makeup Base,3.5,,,4.2,13463-67-7,Titanium dioxide
13115,sephora,,,,4.2,Colorful Pro,3.4,,,3.9,13463-67-7,Titanium dioxide
13126,sephora,,,,4.7,Phantasmagoria - The Book of Fantasies,3.6,,,,13463-67-7,Titanium dioxide
13130,sephora,,,,4.4,Makeup Palette Grand Model,4.0,,,,13463-67-7,Titanium dioxide
10705,mizani,4.5,4.7,,4.5,Moisturfuse Conditioner,3.2,,4.5,4.3,13463-67-7,Titanium dioxide
30,chanel,,,,4.7,Hydrabase Red Lipstick,3.6,,,4.4,13463-67-7,Titanium dioxide
274,chanel,2.8,2.6,,4.4,Eye Tonic,2.4,,3.7,3.7,13463-67-7,Titanium dioxide
400,chanel,,,,4.7,Cristalle Gloss,3.7,,,4.4,13463-67-7,Titanium dioxide
453,chanel,,,,4.7,Le Crayon Gloss,3.1,,,4.5,13463-67-7,Titanium dioxide
913,chanel,,,,4.8,Line Chanel,3.6,,,4.6,13463-67-7,Titanium dioxide
1339,chanel,,,,4.6,Mild Solvent,3.5,,,4.8,13463-67-7,Titanium dioxide
1384,chanel,3.7,3.7,,4.1,Restructuring Care Anti-Wrinkle - Ultra Correction Night,2.6,,4.3,4.6,13463-67-7,Titanium dioxide
1395,chanel,4.1,4.4,,4.5,Extension Youth Night Creme - Age Delay,3.5,,4.6,4.6,13463-67-7,Titanium dioxide
1488,chanel,,,,4.6,The Crayon Khol,3.5,,,4.5,13463-67-7,Titanium dioxide
1606,chanel,3.7,3.8,,4.2,Restructuring Anti-Wrinkle Creme SPF10 - Ultra Correction,3.0,,4.3,4.2,13463-67-7,Titanium dioxide
1607,chanel,2.1,2.2,,4.3,Eye Lift,2.1,,3.3,3.5,13463-67-7,Titanium dioxide
1608,chanel,,,,4.8,Unique shadow,4.0,,,4.8,13463-67-7,Titanium dioxide
1653,chanel,2.4,3.5,,4.5,Serum Wrinkle Corrector Retexturant - Intense rectifiance,2.3,,3.8,3.5,13463-67-7,Titanium dioxide
1673,chanel,,,,5.0,Powder Coromandel,3.9,,,5.0,13463-67-7,Titanium dioxide
1674,chanel,,,,4.7,The Coromandel,4.0,,,4.7,13463-67-7,Titanium dioxide
1710,chanel,,,,4.8,Unreal Duo,3.5,,,4.5,13463-67-7,Titanium dioxide
1972,chanel,,,,5.0,Crystalline complexion Stick,4.0,,,5.0,13463-67-7,Titanium dioxide
2296,chanel,1.0,1.3,,3.7,Filler Ride program - Micro Solution,1.3,,3.0,3.7,13463-67-7,Titanium dioxide
2297,chanel,,,,4.3,New Skin Smoothing program - Micro Solution,2.5,,4.2,4.3,13463-67-7,Titanium dioxide
2298,chanel,2.0,2.0,,3.0,Neutralizer Ride program - Micro Solution,1.0,,3.5,3.5,13463-67-7,Titanium dioxide
2326,chanel,,,,4.7,Compact Creme - Vitalumiere,2.9,,,4.0,13463-67-7,Titanium dioxide
3171,chanel,3.0,3.9,,4.8,Tender Lip Care,2.5,,4.0,4.3,13463-67-7,Titanium dioxide
3733,chanel,,,,4.8,Contrast cheeks,3.7,,,4.6,13463-67-7,Titanium dioxide
3824,chanel,,,,4.5,Pro Lumiere,3.2,,,3.7,13463-67-7,Titanium dioxide
3853,chanel,,,,4.5,Cleansing Eyes Intense,3.6,,,4.6,13463-67-7,Titanium dioxide
3863,chanel,,,,4.1,Masque Purete Express,3.4,,4.0,4.4,13463-67-7,Titanium dioxide
4030,chanel,2.6,3.0,,3.9,Balancing Emulsion-Gel - Hydramax,2.1,,3.9,3.6,13463-67-7,Titanium dioxide
4235,chanel,,,,,Brush Small,3.9,,,,13463-67-7,Titanium dioxide
4437,chanel,,,,4.9,Cheeks Fard - Gentle Blush unreal,3.5,,,4.4,13463-67-7,Titanium dioxide
4703,chanel,,,,4.9,Gentle powder Effect Hale - unreal Sun,3.9,,,4.9,13463-67-7,Titanium dioxide
4828,chanel,,,,4.9,Rouge Allure,3.6,,,4.6,13463-67-7,Titanium dioxide
5072,chanel,,,,4.6,Writing Chanel,3.4,,,4.4,13463-67-7,Titanium dioxide
5232,chanel,,,,4.8,Hydrasoleil,3.5,,,4.3,13463-67-7,Titanium dioxide
5417,chanel,,,,4.6,Brillant Intense Lip Eclat - Shining Lips,3.5,,,4.2,13463-67-7,Titanium dioxide
5495,chanel,,,,4.4,Sun Identity,3.4,,3.8,4.2,13463-67-7,Titanium dioxide
5514,chanel,,,,,Extracils,3.4,,,,13463-67-7,Titanium dioxide
5624,chanel,,,,5.0,Contrast cheeks Duo,3.9,,,4.7,13463-67-7,Titanium dioxide
5840,chanel,,,,,Carved Eyelashes,3.6,,,,13463-67-7,Titanium dioxide
5867,chanel,,,,4.9,Shadow Paupieres Multi-glare - Unreal Shadow,3.6,,,4.7,13463-67-7,Titanium dioxide
5962,chanel,,,,4.8,Double Perfection Compact,3.5,,,4.5,13463-67-7,Titanium dioxide
6038,chanel,3.4,3.7,,4.6,Serum Purete Ideale,2.6,,4.2,4.5,13463-67-7,Titanium dioxide
6311,chanel,3.3,3.7,,4.3,Extreme Lift Serum,2.7,,2.0,2.7,13463-67-7,Titanium dioxide
6321,chanel,,,,4.4,Express Lift Mask,3.4,,4.3,4.3,13463-67-7,Titanium dioxide
6860,chanel,,,,,Inimitable,3.4,,,,13463-67-7,Titanium dioxide
6923,chanel,,,,5.0,Pink Lame,3.7,,,4.8,13463-67-7,Titanium dioxide
6973,chanel,,,,4.8,Essential shadow,3.5,,,4.5,13463-67-7,Titanium dioxide
6982,chanel,,,,4.4,Hydration Mask Destressant,3.6,,4.8,4.7,13463-67-7,Titanium dioxide
7262,chanel,,,,4.5,Matt T,3.5,,,4.1,13463-67-7,Titanium dioxide
7918,chanel,,,,3.3,Fluid Foundation - Teint Innocence,3.2,,,4.2,13463-67-7,Titanium dioxide
7935,chanel,,,,4.6,Innocence Compact Foundation -Teint,3.3,,,4.6,13463-67-7,Titanium dioxide
7992,chanel,3.7,4.1,,4.6,Mat Fluid Regulator - Purete Ideale,3.1,,4.3,4.6,13463-67-7,Titanium dioxide
8074,chanel,,,,4.4,Destressant mask - Purity,3.3,,4.3,4.4,13463-67-7,Titanium dioxide
8075,chanel,,,,4.4,Scrub Microperle - Purity,3.5,,4.5,4.6,13463-67-7,Titanium dioxide
8089,chanel,,,,4.5,Matte focusing Zone T - Purete Ideale,3.4,,,4.6,13463-67-7,Titanium dioxide
8160,chanel,,,,4.7,Magical Lights,4.1,,,4.7,13463-67-7,Titanium dioxide
8194,chanel,3.4,3.6,,4.6,Essential Regenerating Cream - Sublimage,2.6,,4.2,4.2,13463-67-7,Titanium dioxide
8297,chanel,3.6,3.9,,4.6,Maximum Comfort Creme Eclat - Radiance Original,3.2,,4.0,4.8,13463-67-7,Titanium dioxide
8495,chanel,,,,4.5,Destressant mask - Eclat,2.7,,4.1,4.1,13463-67-7,Titanium dioxide
8552,chanel,,,,4.8,Sweet Powder,3.4,,,4.4,13463-67-7,Titanium dioxide
8665,chanel,,,,3.7,Universal Fluid Foundation,3.6,,,4.6,13463-67-7,Titanium dioxide
9994,chanel,,,,3.9,Gel Anti-Cellulite Firming galba - Body Excellence,2.9,,4.1,4.1,13463-67-7,Titanium dioxide
10091,chanel,,,,4.7,Scrub Smoothing Conditioner - Body Excellence,3.1,,4.6,4.8,13463-67-7,Titanium dioxide
10135,chanel,4.6,4.7,,4.1,Smoothing Firming Creme and Youth - Body Excellence,2.6,,4.6,4.5,13463-67-7,Titanium dioxide
10137,chanel,,,,4.5,Youth and Comfort Creme Mains - Body Excellence,2.6,,4.2,4.4,13463-67-7,Titanium dioxide
10508,chanel,,,,4.3,Universal Cream Compact Foundation,3.6,,,4.8,13463-67-7,Titanium dioxide
10702,chanel,4.9,5.0,,5.0,Creme Body - Sensual Allure,3.4,,5.0,5.0,13463-67-7,Titanium dioxide
10804,chanel,,,,4.8,Palette Multi-Bursts - Aqualumieres,4.0,,,,13463-67-7,Titanium dioxide
10936,chanel,3.1,3.6,,4.4,Hydration and Firming Milk Enhancer - Body Excellence,2.4,,3.7,4.9,13463-67-7,Titanium dioxide
11025,chanel,,,,4.9,Iridescent Eye and Cheek Powder - Light of Fireworks,3.8,,,4.9,13463-67-7,Titanium dioxide
11046,chanel,3.1,3.2,,3.9,Restructuring Anti-Wrinkle Creme Eye - Ultra Correction Eye,2.5,,3.9,4.2,13463-67-7,Titanium dioxide
11371,chanel,,,,4.8,Total Eye Revitalizer - Ultra Correction,3.5,,4.5,4.0,13463-67-7,Titanium dioxide
11753,chanel,,,,,Inimitable Waterproof,3.2,,,,13463-67-7,Titanium dioxide
11992,chanel,,,,4.0,Sun Blade,3.0,,,3.0,13463-67-7,Titanium dioxide
12188,chanel,4.1,4.4,,4.5,Hydramax + Tint,3.4,,4.6,4.8,13463-67-7,Titanium dioxide
12191,chanel,,,,4.7,Aqualumiere,3.4,,,4.5,13463-67-7,Titanium dioxide
12196,chanel,,,,,Powder lashes,2.0,,,,13463-67-7,Titanium dioxide
12389,chanel,,,,4.4,Soft Lotion Alcohol Free - Activator Tender,4.0,,4.8,4.6,13463-67-7,Titanium dioxide
12390,chanel,4.0,4.1,,3.9,Comfort Creme - Hydramax +,3.2,,4.3,4.2,13463-67-7,Titanium dioxide
12882,chanel,,,,,Mascara Base Beaute,2.7,,,,13463-67-7,Titanium dioxide
13079,chanel,,,,5.0,Contrast Lights,4.0,,,,13463-67-7,Titanium dioxide
13167,chanel,,,,4.7,4 Camelias,3.2,,,4.2,13463-67-7,Titanium dioxide
5157,lab series for men,,,5.0,4.5,Lift Off Face Wash - Lab Series for Men,4.0,5.0,5.0,5.0,13463-67-7,Titanium dioxide
11360,lab series for men,,,,4.8,Razor Burn Relief More,4.0,,4.5,4.8,13463-67-7,Titanium dioxide
12530,lab series for men,,,,4.6,Moisturizing Gel Instantane - Treat,3.4,,4.6,5.0,13463-67-7,Titanium dioxide
730,shiseido,,,,3.7,Restorative cream after sun,,,4.0,5.0,13463-67-7,Titanium dioxide
760,shiseido,,,,4.6,Compact Foundation,3.5,,,4.3,13463-67-7,Titanium dioxide
769,shiseido,,,,4.5,Lip Gloss Touche,2.8,,,4.3,13463-67-7,Titanium dioxide
778,shiseido,,,,4.4,Hydro-Soothing Lotion - the Skincare,3.4,,4.1,4.6,13463-67-7,Titanium dioxide
803,shiseido,3.8,4.0,,4.1,Eye Care Revitalizer - The Skincare,2.9,,4.1,4.4,13463-67-7,Titanium dioxide
807,shiseido,,,,4.2,Aromatic Salt Scrub for Body - Body Creator,3.7,,4.3,4.6,13463-67-7,Titanium dioxide
809,shiseido,4.3,4.4,,4.3,Aromatic Firming Creme for Body - Body Creator,3.0,,4.6,4.7,13463-67-7,Titanium dioxide
901,shiseido,,,,4.5,Stick Matitifiant - Pureness,2.5,,,3.5,13463-67-7,Titanium dioxide
927,shiseido,,,,4.6,Color Powder Eclat,3.9,,,4.8,13463-67-7,Titanium dioxide
1288,shiseido,,,,4.7,Eyebrow Shaping Transparent,3.3,,,4.3,13463-67-7,Titanium dioxide
1628,shiseido,,,,4.6,Toning Lotion - Shiseido Men,3.4,,4.1,4.4,13463-67-7,Titanium dioxide
1629,shiseido,,,,4.2,Purifying Scrub - Shiseido Men,3.7,,4.4,4.4,13463-67-7,Titanium dioxide
1630,shiseido,,,,4.1,Energizing - Shiseido Men,3.1,,4.3,4.2,13463-67-7,Titanium dioxide
1635,shiseido,3.0,3.0,,4.5,Energizing Complex for Hair,2.5,,3.3,4.3,13463-67-7,Titanium dioxide
1717,shiseido,3.9,4.0,,4.2,Super Restoring Cream - Bio Performance,3.0,,4.3,4.3,13463-67-7,Titanium dioxide
1718,shiseido,,,,4.8,Perfect Red Lip,3.2,,,4.3,13463-67-7,Titanium dioxide
1721,shiseido,,,,4.6,Shadow Relief,3.8,,,4.5,13463-67-7,Titanium dioxide
1772,shiseido,,,,4.1,Complexion Lift Satin,3.2,,,4.0,13463-67-7,Titanium dioxide
1780,shiseido,,,,4.8,Stick Relief,3.8,,,4.8,13463-67-7,Titanium dioxide
2207,shiseido,,,,4.7,Fluid Eyeliner,3.3,,,4.3,13463-67-7,Titanium dioxide
2276,shiseido,,,,4.1,Purifying Mask - The Skincare,3.4,,4.3,4.5,13463-67-7,Titanium dioxide
2376,shiseido,3.5,3.8,,4.0,Lips and Eyes Contour Cream - Future Solution,2.5,,4.0,4.1,13463-67-7,Titanium dioxide
2588,shiseido,4.3,4.0,,4.3,Neck Firming Cream - Benefiance,3.7,,5.0,4.7,13463-67-7,Titanium dioxide
2589,shiseido,,,,4.0,Firming Massage Mask - Benefiance,3.3,,4.3,4.6,13463-67-7,Titanium dioxide
2602,shiseido,3.1,3.3,,3.5,Intensive Treatment Hair Mask,2.3,,3.4,3.9,13463-67-7,Titanium dioxide
2670,shiseido,,,,4.6,Silky Shadow Quad,3.2,,,4.1,13463-67-7,Titanium dioxide
3073,shiseido,,,,5.0,Red Lips Long Lasting Comfort,3.4,,,4.8,13463-67-7,Titanium dioxide
3462,shiseido,,,,4.6,Balancing Lotion - Pureness,3.1,,4.3,4.5,13463-67-7,Titanium dioxide
3625,shiseido,,,,4.8,Silky Shadow Duo,3.7,,,4.8,13463-67-7,Titanium dioxide
3626,shiseido,,,,4.7,Red Irise,3.9,,,4.4,13463-67-7,Titanium dioxide
3688,shiseido,4.2,4.5,,3.1,Daytime Protective Emulsion - Benefiance,3.4,,4.4,4.5,13463-67-7,Titanium dioxide
3760,shiseido,3.6,4.0,,4.8,Body and Hair Mist Freshness,3.0,,4.8,4.8,13463-67-7,Titanium dioxide
3930,shiseido,3.6,3.7,,3.9,Concentree Creme Anti-Wrinkle Eye - Benefiance,3.0,,4.0,4.1,13463-67-7,Titanium dioxide
3931,shiseido,3.3,3.7,,4.3,Focuses Neck Contour - Benefiance,2.7,,4.3,4.3,13463-67-7,Titanium dioxide
3932,shiseido,,,,4.0,Pure Retinol Intensive Revitalizing Mask Face - Benefiance,2.5,,4.0,3.5,13463-67-7,Titanium dioxide
4201,shiseido,,,,4.4,Tinted Self-Tanning Creme Hale Lumiere,3.8,,3.3,4.8,13463-67-7,Titanium dioxide
4203,shiseido,,,,4.1,Self-Tanning Gel Tint Hale Lumiere,3.7,,3.8,4.0,13463-67-7,Titanium dioxide
4310,shiseido,2.9,3.3,,4.7,Soothing Eye Contour - The Skincare,3.0,,4.0,4.6,13463-67-7,Titanium dioxide
4885,shiseido,3.5,3.9,,4.0,Firming Complex Aromatic Bust - Body Creator,3.3,,4.5,4.2,13463-67-7,Titanium dioxide
4886,shiseido,,,,4.1,Contour Gel Aromatic Body Anti-Cellulite - Body Creator,3.0,,4.2,4.2,13463-67-7,Titanium dioxide
4898,shiseido,,,,5.0,Very High Protection Sun Cream SPF 50.PA ++,4.0,,4.5,4.0,13463-67-7,Titanium dioxide
4899,shiseido,,,,3.9,Very High Protection Sun Lotion SPF 50.PA ++,3.3,,4.0,3.9,13463-67-7,Titanium dioxide
5973,shiseido,,,,4.6,Hydro-Smoothing Lotion - The Skincare,4.4,,4.5,4.9,13463-67-7,Titanium dioxide
6179,shiseido,3.6,3.8,,3.9,Daytime Protective Cream - Benefiance,2.8,,3.6,3.9,13463-67-7,Titanium dioxide
6265,shiseido,,,,2.8,Tanning Compact Foundation SPF 4,3.7,,3.7,4.3,13463-67-7,Titanium dioxide
7221,shiseido,,,,3.8,Face Renovator system - Bio Performance,2.6,,4.0,4.0,13463-67-7,Titanium dioxide
7222,shiseido,,,,3.4,Double dyed Control,3.7,,,4.5,13463-67-7,Titanium dioxide
7224,shiseido,,,,4.7,Stick Concealer,3.7,,,4.0,13463-67-7,Titanium dioxide
7339,shiseido,,,,,Shave Creme - Shiseido Men,,,4.0,,13463-67-7,Titanium dioxide
7483,shiseido,,,,4.6,Powder Foundation,3.6,,,4.5,13463-67-7,Titanium dioxide
7703,shiseido,,,,4.6,Soothing Eye Contour Gel - Shiseido Men,2.6,,4.0,4.8,13463-67-7,Titanium dioxide
8189,shiseido,,,,4.6,Compact Powder,3.8,,,4.7,13463-67-7,Titanium dioxide
8605,shiseido,,,,4.5,Eyebrow Pencil,3.0,,,4.0,13463-67-7,Titanium dioxide
9012,shiseido,,,,4.4,Super Exfoliating Discs - Bio-Performance,2.7,,4.1,4.3,13463-67-7,Titanium dioxide
9013,shiseido,3.6,3.7,,4.3,Refining Essence - Bio-Performance,2.8,,3.9,4.6,13463-67-7,Titanium dioxide
9090,shiseido,,,,4.4,Enriched Cleansing Foam - Benefiance,3.8,,4.4,4.7,13463-67-7,Titanium dioxide
9495,shiseido,,,,4.0,Deep Wrinkle Corrector - Shiseido Men,4.3,,4.0,3.7,13463-67-7,Titanium dioxide
9694,shiseido,4.0,4.3,,4.3,Intensive Nourishing Cream and Reparation - Benefiance,3.3,,4.5,4.6,13463-67-7,Titanium dioxide
10009,shiseido,4.5,4.5,,4.5,Sun Protection Cream SPF 25 Eye PA +++,4.5,,4.0,4.5,13463-67-7,Titanium dioxide
10010,shiseido,,,,4.8,Hale Complexion Lotion,3.8,,4.3,4.6,13463-67-7,Titanium dioxide
10024,shiseido,,,,4.7,Balancing Softener Enriched - Benefiance,3.8,,5.0,4.8,13463-67-7,Titanium dioxide
10059,shiseido,3.9,4.0,,4.0,Multi-Energizing Cream - The Skincare,3.1,,4.7,4.7,13463-67-7,Titanium dioxide
10076,shiseido,2.2,2.0,,4.0,Brightening Concentrate Anti-Spots - White Lucency,1.7,,3.8,4.0,13463-67-7,Titanium dioxide
10078,shiseido,,,,4.8,Water Energizing Aromatic Body - Body Creator,3.3,,4.4,4.6,13463-67-7,Titanium dioxide
10429,shiseido,,,,4.5,Purifying Cleansing Foam - The Skincare,4.0,,5.0,5.0,13463-67-7,Titanium dioxide
10485,shiseido,,,,4.3,Corrector,2.8,,,4.0,13463-67-7,Titanium dioxide
10802,shiseido,,,,4.7,Gentle Cleansing Cream - The Skincare,3.8,,4.0,4.8,13463-67-7,Titanium dioxide
10808,shiseido,4.0,4.5,,4.1,Corrective Care Perfect Lips - Benefiance,3.3,,4.4,4.2,13463-67-7,Titanium dioxide
11200,shiseido,,,,4.7,Relief Powder Blush,3.8,,,4.8,13463-67-7,Titanium dioxide
11763,shiseido,,,,4.6,Compact Eye and Brow,3.7,,,4.7,13463-67-7,Titanium dioxide
12086,shiseido,3.1,3.1,,4.1,Smoothing Lotion - White Lucency,2.7,,3.4,4.1,13463-67-7,Titanium dioxide
12087,shiseido,3.6,3.7,,4.4,Protective Day Creme SPF 15 - White Lucency,3.3,,4.0,3.9,13463-67-7,Titanium dioxide
12088,shiseido,3.6,3.9,,4.1,Creme Night Reparation - White Lucency,3.0,,4.1,3.8,13463-67-7,Titanium dioxide
12249,shiseido,3.7,4.3,,5.0,Night Essential Moisturizer - The Skincare,3.0,,4.3,4.0,13463-67-7,Titanium dioxide
12279,shiseido,4.0,4.2,,4.5,Essential Moisturizer Night Leger - The Skincare,3.7,,4.2,4.5,13463-67-7,Titanium dioxide
12281,shiseido,3.7,3.3,,4.7,Night Essential Moisturizer Enriched - The Skincare,3.3,,4.3,4.7,13463-67-7,Titanium dioxide
12483,shiseido,,,,4.0,Relaxing Moisturizing Mask - The Skincare,3.3,,4.3,4.3,13463-67-7,Titanium dioxide
12501,shiseido,,,,4.8,Powder Brush Perlee,3.6,,,4.7,13463-67-7,Titanium dioxide
12560,shiseido,4.0,4.3,,4.5,Radiance Essence Concentree - Bio-performance,3.4,,4.0,4.4,13463-67-7,Titanium dioxide
13035,shiseido,,,,4.1,Mask Care Immediat Pure Retinol Eye - Benefiance,3.2,,4.2,4.3,13463-67-7,Titanium dioxide
13225,shiseido,,,,5.0,Twist pencil Lips,3.7,,,4.4,13463-67-7,Titanium dioxide
383,marc jacobs,4.5,4.5,,3.5,Body Creme - Blush,2.0,,1.0,4.5,13463-67-7,Titanium dioxide
40,neutrogena,2.7,2.9,,3.6,Regenerating Night Care - Visibly Refined,2.7,,3.3,3.7,13463-67-7,Titanium dioxide
145,neutrogena,4.0,4.4,,4.0,Body Moisturizing Emulsion - Formula Norvegienne,3.9,,3.7,4.1,13463-67-7,Titanium dioxide
175,neutrogena,3.5,3.9,4.0,3.4,T / Gel Total,3.3,3.8,2.6,3.6,13463-67-7,Titanium dioxide
313,neutrogena,3.1,3.4,,3.8,Clarifying Cleansing Gel - Clear Pore,3.2,,3.1,3.8,13463-67-7,Titanium dioxide
327,neutrogena,3.9,4.7,5.0,3.9,Shampoo Anti-Residues,3.4,4.7,2.9,4.3,13463-67-7,Titanium dioxide
768,neutrogena,,,,3.9,Peeling Mask - Advanced Solutions,2.6,,2.8,3.4,13463-67-7,Titanium dioxide
883,neutrogena,4.1,4.5,,3.9,Comfort Balm - Formula Norvegienne,4.1,,4.2,4.6,13463-67-7,Titanium dioxide
1103,neutrogena,3.9,4.1,,3.7,Creme Cleanser Oil Free - Deep Clean,4.2,,4.2,4.4,13463-67-7,Titanium dioxide
1261,neutrogena,,,,3.4,Cleansing Cream Face & Eyes,3.9,,4.2,4.4,13463-67-7,Titanium dioxide
2211,neutrogena,3.0,2.0,,4.0,Creme for Eyes - Healthy Skin,5.0,,5.0,5.0,13463-67-7,Titanium dioxide
2288,neutrogena,4.0,4.2,,4.2,Creme - D - Formula Norvegienne,3.6,,4.4,3.8,13463-67-7,Titanium dioxide
2596,neutrogena,4.1,4.5,,4.0,Lip Stick - Formula Norvegienne,4.0,,3.8,4.3,13463-67-7,Titanium dioxide
2626,neutrogena,1.8,2.4,,4.4,Visibly Young Eye Lift,2.2,,3.0,4.2,13463-67-7,Titanium dioxide
2975,neutrogena,4.1,4.1,,4.3,Oil-Free Moisturizer Combination Skin - Moisture,4.4,,4.3,4.9,13463-67-7,Titanium dioxide
3321,neutrogena,4.3,4.3,,4.7,Night Creme Legere,5.0,,4.7,5.0,13463-67-7,Titanium dioxide
3601,neutrogena,,,,4.0,Refreshing Cleansing Foam,3.5,,4.0,3.0,13463-67-7,Titanium dioxide
3602,neutrogena,,,,4.5,Extra Gentle Cleanser,3.5,,4.0,3.0,13463-67-7,Titanium dioxide
3918,neutrogena,,,,4.4,Pain Facial Cleanser Original Formula,4.0,,3.9,4.1,13463-67-7,Titanium dioxide
